Date,Consolidated,Description,Catgory 1,Category 2,Category 3,Debit,Credit,Balance,DR/CR
21/11/2020, Commonwealth Bank /Expense/Household/Rent & Mortgage, Commonwealth Bank ,Expense,Household,Rent & Mortgage,150,0,1475,DR
21/11/2020,Ladbrokes /Expense/Leisure & Lifestyle/Lottery & Gambling,Ladbrokes ,Expense,Leisure & Lifestyle,Lottery & Gambling,53,0,1422,DR
22/11/2020,IKEA /Expense/Household/Maintenance & Improvements,IKEA ,Expense,Household,Maintenance & Improvements,107,0,1315,DR
24/11/2020,"Supercheap Auto /Expense/Transport/Car Insurance, Rego & Maintenance",Supercheap Auto ,Expense,Transport,"Car Insurance, Rego & Maintenance",101,0,1214,DR
24/11/2020,Muffin Break /Expense/Leisure & Lifestyle/Restaurants & Cafes,Muffin Break ,Expense,Leisure & Lifestyle,Restaurants & Cafes,56,0,1158,DR
24/11/2020,SEQTA /Expense/Personal/Education,SEQTA ,Expense,Personal,Education,21,0,1137,DR
24/11/2020,ATO Tax Refund /Income/Income/Other Income,ATO Tax Refund ,Income,Income,Other Income,56,0,1081,DR
26/11/2020,The Baxter Inn /Expense/Leisure & Lifestyle/Pubs & Bars,The Baxter Inn ,Expense,Leisure & Lifestyle,Pubs & Bars,39,0,1042,DR
27/11/2020,Zone Bowling /Expense/Leisure & Lifestyle/Entertainment,Zone Bowling ,Expense,Leisure & Lifestyle,Entertainment,68,0,974,DR
28/11/2020,Flight Centre /Expense/Leisure & Lifestyle/Holidays & Travel,Flight Centre ,Expense,Leisure & Lifestyle,Holidays & Travel,32,0,942,DR
1/12/2020,Monthly Income,Monthly Income,Income,Income,Wages,0,6000,6942,CR
3/12/2020,Tabcorp /Expense/Leisure & Lifestyle/Lottery & Gambling,Tabcorp ,Expense,Leisure & Lifestyle,Lottery & Gambling,78,0,6864,DR
4/12/2020,"Kayo Sports /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Kayo Sports ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",87,0,6777,DR
7/12/2020,Palace Cinemas /Expense/Leisure & Lifestyle/Entertainment,Palace Cinemas ,Expense,Leisure & Lifestyle,Entertainment,144,0,6633,DR
7/12/2020,Shell V Power/Expense/Transport/Fuel,Shell V Power,Expense,Transport,Fuel,388,0,6245,DR
8/12/2020,"Adairs /Expense/Household/Furniture, Electronics & Homewares",Adairs ,Expense,Household,"Furniture, Electronics & Homewares",512,0,5733,DR
10/12/2020, Rentokil /Expense/Household/Maintenance & Improvements, Rentokil ,Expense,Household,Maintenance & Improvements,476,0,5257,DR
10/12/2020,The Ivy /Expense/Leisure & Lifestyle/Pubs & Bars,The Ivy ,Expense,Leisure & Lifestyle,Pubs & Bars,19,0,5238,DR
10/12/2020,"Apple Music /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Apple Music ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",161,0,5077,DR
13/12/2020,Kumon /Expense/Personal/Education,Kumon ,Expense,Personal,Education,457,0,4620,DR
13/12/2020,Caltex /Expense/Transport/Fuel,Caltex ,Expense,Transport,Fuel,102,0,4518,DR
13/12/2020,Dental Clinic /Expense/Personal/Health & Medical,Dental Clinic ,Expense,Personal,Health & Medical,184,0,4334,DR
15/12/2020,Snap Fitness /Expense/Personal/Fitness & Wellbeing,Snap Fitness ,Expense,Personal,Fitness & Wellbeing,240,0,4094,DR
15/12/2020,Montessori Schools /Expense/Personal/Education,Montessori Schools ,Expense,Personal,Education,221,0,3873,DR
18/12/2020,AustralianSuper Pension /Income/Income/Other Income,AustralianSuper Pension ,Income,Income,Other Income,175,0,3698,DR
18/12/2020,Rebel Sport /Expense/Personal/Fitness & Wellbeing,Rebel Sport ,Expense,Personal,Fitness & Wellbeing,38,0,3660,DR
20/12/2020,Rooftop Bar /Expense/Leisure & Lifestyle/Pubs & Bars,Rooftop Bar ,Expense,Leisure & Lifestyle,Pubs & Bars,62,0,3598,DR
21/12/2020,Chiropractor /Expense/Personal/Health & Medical,Chiropractor ,Expense,Personal,Health & Medical,249,0,3349,DR
22/12/2020,Greencross Vets /Expense/Household/Pets,Greencross Vets ,Expense,Household,Pets,310,0,3039,DR
23/12/2020,Guardian Childcare & Education /Expense/Personal/Children & Family,Guardian Childcare & Education ,Expense,Personal,Children & Family,177,0,2862,DR
23/12/2020,"EB Games /Expense/Leisure & Lifestyle/Apps, Games & Software",EB Games ,Expense,Leisure & Lifestyle,"Apps, Games & Software",20,0,2842,DR
24/12/2020,Stand Up Paddleboard Rental /Expense/Personal/Fitness & Wellbeing,Stand Up Paddleboard Rental ,Expense,Personal,Fitness & Wellbeing,272,0,2570,DR
25/12/2020,"Stan /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Stan ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",154,0,2416,DR
28/12/2020,"Car Wash Cafe /Expense/Transport/Car Insurance, Rego & Maintenance",Car Wash Cafe ,Expense,Transport,"Car Insurance, Rego & Maintenance",191,0,2225,DR
28/12/2020,The Rocks Bar and Pub /Expense/Leisure & Lifestyle/Pubs & Bars,The Rocks Bar and Pub ,Expense,Leisure & Lifestyle,Pubs & Bars,147,0,2078,DR
1/1/2021,Monthly Income,Monthly Income,Income,Income,Wages,0,6000,8078,CR
2/1/2021,eBay Sales Proceeds /Income/Income/Other Income,eBay Sales Proceeds ,Income,Income,Other Income,220,0,7858,DR
2/1/2021,Dan Murphy’s /Expense/Leisure & Lifestyle/Alcohol,Dan Murphy’s ,Expense,Leisure & Lifestyle,Alcohol,751,0,7107,DR
2/1/2021,"Apple Music /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Apple Music ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",502,0,6605,DR
3/1/2021,Rebel Sport /Expense/Personal/Fitness & Wellbeing,Rebel Sport ,Expense,Personal,Fitness & Wellbeing,111,0,6494,DR
4/1/2021,Sea Kayak Tours /Expense/Leisure & Lifestyle/Holidays & Travel,Sea Kayak Tours ,Expense,Leisure & Lifestyle,Holidays & Travel,314,0,6180,DR
5/1/2021, Slater and Gordon Lawyers /Expense/Personal/Life Admin, Slater and Gordon Lawyers ,Expense,Personal,Life Admin,389,0,5791,DR
5/1/2021,YMCA /Expense/Personal/Fitness & Wellbeing,YMCA ,Expense,Personal,Fitness & Wellbeing,576,0,5215,DR
6/1/2021, Commonwealth Bank /Expense/Household/Rent & Mortgage, Commonwealth Bank ,Expense,Household,Rent & Mortgage,16,0,5199,DR
6/1/2021,City Beach /Expense/Personal/Clothing & Accessories,City Beach ,Expense,Personal,Clothing & Accessories,102,0,5097,DR
10/1/2021,"Autobarn /Expense/Transport/Car Insurance, Rego & Maintenance",Autobarn ,Expense,Transport,"Car Insurance, Rego & Maintenance",486,0,4611,DR
10/1/2021,"JAX Tyres /Expense/Transport/Car Insurance, Rego & Maintenance",JAX Tyres ,Expense,Transport,"Car Insurance, Rego & Maintenance",336,0,4275,DR
12/1/2021,AMF Bowling /Expense/Leisure & Lifestyle/Entertainment,AMF Bowling ,Expense,Leisure & Lifestyle,Entertainment,321,0,3954,DR
13/1/2021,Coles /Expense/Household/Groceries,Coles ,Expense,Household,Groceries,370,0,3584,DR
13/1/2021,"Disney+ /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Disney+ ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",155,0,3429,DR
14/1/2021,"Stan /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Stan ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",144,0,3285,DR
15/1/2021,Spotlight /Expense/Leisure & Lifestyle/Hobbies,Spotlight ,Expense,Leisure & Lifestyle,Hobbies,116,0,3169,DR
16/1/2021,"EB Games /Expense/Leisure & Lifestyle/Apps, Games & Software",EB Games ,Expense,Leisure & Lifestyle,"Apps, Games & Software",58,0,3111,DR
19/1/2021,Salary Deposit from Woolworths Group /Income/Income/Wages,Salary Deposit from Woolworths Group ,Income,Income,Wages,301,0,2810,DR
20/1/2021,Upwork Freelancer Payment /Income/Income/Other Income,Upwork Freelancer Payment ,Income,Income,Other Income,197,0,2613,DR
20/1/2021,Bulk Billing Doctor /Expense/Personal/Health & Medical,Bulk Billing Doctor ,Expense,Personal,Health & Medical,166,0,2447,DR
23/1/2021,Eat Street Northshore /Expense/Leisure & Lifestyle/Pubs & Bars,Eat Street Northshore ,Expense,Leisure & Lifestyle,Pubs & Bars,237,0,2210,DR
24/1/2021,"Bridgestone Select /Expense/Transport/Car Insurance, Rego & Maintenance",Bridgestone Select ,Expense,Transport,"Car Insurance, Rego & Maintenance",200,0,2010,DR
25/1/2021,Woolworths /Expense/Household/Groceries,Woolworths ,Expense,Household,Groceries,100,0,1910,DR
26/1/2021,Little Athletics /Expense/Personal/Fitness & Wellbeing,Little Athletics ,Expense,Personal,Fitness & Wellbeing,59,0,1851,DR
1/2/2021,Monthly Income,Monthly Income,Income,Income,Wages,0,6000,7851,CR
3/2/2021,Woolworths /Expense/Household/Groceries,Woolworths ,Expense,Household,Groceries,560,0,7291,DR
6/2/2021,Gardening Australia /Expense/Household/Maintenance & Improvements,Gardening Australia ,Expense,Household,Maintenance & Improvements,186,0,7105,DR
8/2/2021,KU Children's Services /Expense/Personal/Children & Family,KU Children's Services ,Expense,Personal,Children & Family,65,0,7040,DR
8/2/2021,PayPal Transfer from Sale /Income/Income/Other Income,PayPal Transfer from Sale ,Income,Income,Other Income,167,0,6873,DR
11/2/2021,Myer /Expense/Personal/Clothing & Accessories,Myer ,Expense,Personal,Clothing & Accessories,322,0,6551,DR
12/2/2021,"Spotify /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Spotify ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",224,0,6327,DR
13/2/2021,"Le Creuset /Expense/Household/Furniture, Electronics & Homewares",Le Creuset ,Expense,Household,"Furniture, Electronics & Homewares",541,0,5786,DR
15/2/2021,Camp Australia /Expense/Leisure & Lifestyle/Hobbies,Camp Australia ,Expense,Leisure & Lifestyle,Hobbies,378,0,5408,DR
15/2/2021,Petbarn /Expense/Household/Pets,Petbarn ,Expense,Household,Pets,314,0,5094,DR
15/2/2021,Dan Murphy’s /Expense/Leisure & Lifestyle/Alcohol,Dan Murphy’s ,Expense,Leisure & Lifestyle,Alcohol,329,0,4765,DR
16/2/2021,Surfstitch /Expense/Personal/Clothing & Accessories,Surfstitch ,Expense,Personal,Clothing & Accessories,15,0,4750,DR
19/2/2021,BWS /Expense/Leisure & Lifestyle/Alcohol,BWS ,Expense,Leisure & Lifestyle,Alcohol,272,0,4478,DR
19/2/2021,"NRMA Roadside Assistance /Expense/Transport/Car Insurance, Rego & Maintenance",NRMA Roadside Assistance ,Expense,Transport,"Car Insurance, Rego & Maintenance",228,0,4250,DR
20/2/2021,School Locker /Expense/Personal/Children & Family,School Locker ,Expense,Personal,Children & Family,299,0,3951,DR
23/2/2021,Rebel Sport /Expense/Personal/Fitness & Wellbeing,Rebel Sport ,Expense,Personal,Fitness & Wellbeing,215,0,3736,DR
23/2/2021,"Harvey Norman /Expense/Household/Furniture, Electronics & Homewares",Harvey Norman ,Expense,Household,"Furniture, Electronics & Homewares",205,0,3531,DR
25/2/2021,"Bridgestone Select /Expense/Transport/Car Insurance, Rego & Maintenance",Bridgestone Select ,Expense,Transport,"Car Insurance, Rego & Maintenance",303,0,3228,DR
25/2/2021,The Victory Hotel /Expense/Leisure & Lifestyle/Pubs & Bars,The Victory Hotel ,Expense,Leisure & Lifestyle,Pubs & Bars,52,0,3176,DR
27/2/2021,McDonald’s /Expense/Leisure & Lifestyle/Takeaway,McDonald’s ,Expense,Leisure & Lifestyle,Takeaway,40,0,3136,DR
27/2/2021,Priceline Pharmacy /Expense/Personal/Health & Medical,Priceline Pharmacy ,Expense,Personal,Health & Medical,145,0,2991,DR
1/3/2021,Monthly Income,Monthly Income,Income,Income,Wages,0,6000,8991,CR
2/3/2021,Lorna Jane /Expense/Personal/Clothing & Accessories,Lorna Jane ,Expense,Personal,Clothing & Accessories,858,0,8133,DR
2/3/2021, Jim's Mowing /Expense/Household/Maintenance & Improvements, Jim's Mowing ,Expense,Household,Maintenance & Improvements,50,0,8083,DR
2/3/2021,Lorna Jane /Expense/Personal/Clothing & Accessories,Lorna Jane ,Expense,Personal,Clothing & Accessories,660,0,7423,DR
2/3/2021,South East Water /Expense/Household/Utilities,South East Water ,Expense,Household,Utilities,605,0,6818,DR
3/3/2021,Gold's Gym /Expense/Personal/Fitness & Wellbeing,Gold's Gym ,Expense,Personal,Fitness & Wellbeing,489,0,6329,DR
3/3/2021,PayPal Transfer from Sale /Income/Income/Other Income,PayPal Transfer from Sale ,Income,Income,Other Income,245,0,6084,DR
4/3/2021, Rentokil /Expense/Household/Maintenance & Improvements, Rentokil ,Expense,Household,Maintenance & Improvements,573,0,5511,DR
5/3/2021,Little Athletics /Expense/Personal/Fitness & Wellbeing,Little Athletics ,Expense,Personal,Fitness & Wellbeing,546,0,4965,DR
5/3/2021,Liquorland /Expense/Leisure & Lifestyle/Alcohol,Liquorland ,Expense,Leisure & Lifestyle,Alcohol,125,0,4840,DR
5/3/2021,Eat Street Northshore /Expense/Leisure & Lifestyle/Pubs & Bars,Eat Street Northshore ,Expense,Leisure & Lifestyle,Pubs & Bars,107,0,4733,DR
6/3/2021, Metricon /Expense/Household/Maintenance & Improvements, Metricon ,Expense,Household,Maintenance & Improvements,122,0,4611,DR
6/3/2021,The Body Shop /Expense/Personal/Hair & Beauty,The Body Shop ,Expense,Personal,Hair & Beauty,29,0,4582,DR
7/3/2021,The Victory Hotel /Expense/Leisure & Lifestyle/Pubs & Bars,The Victory Hotel ,Expense,Leisure & Lifestyle,Pubs & Bars,214,0,4368,DR
7/3/2021,Menulog /Expense/Leisure & Lifestyle/Takeaway,Menulog ,Expense,Leisure & Lifestyle,Takeaway,78,0,4290,DR
7/3/2021,Soccer Clubs /Expense/Personal/Fitness & Wellbeing,Soccer Clubs ,Expense,Personal,Fitness & Wellbeing,253,0,4037,DR
7/3/2021,Chemist Warehouse /Expense/Personal/Health & Medical,Chemist Warehouse ,Expense,Personal,Health & Medical,8,0,4029,DR
8/3/2021,Domino’s Pizza /Expense/Leisure & Lifestyle/Takeaway,Domino’s Pizza ,Expense,Leisure & Lifestyle,Takeaway,241,0,3788,DR
9/3/2021,Kumon /Expense/Personal/Education,Kumon ,Expense,Personal,Education,337,0,3451,DR
9/3/2021,Bulk Billing Doctor /Expense/Personal/Health & Medical,Bulk Billing Doctor ,Expense,Personal,Health & Medical,157,0,3294,DR
9/3/2021,Coles Express /Expense/Transport/Fuel,Coles Express ,Expense,Transport,Fuel,133,0,3161,DR
10/3/2021,"Le Creuset /Expense/Household/Furniture, Electronics & Homewares",Le Creuset ,Expense,Household,"Furniture, Electronics & Homewares",43,0,3118,DR
10/3/2021,Sunnybank Hotel /Expense/Leisure & Lifestyle/Pubs & Bars,Sunnybank Hotel ,Expense,Leisure & Lifestyle,Pubs & Bars,65,0,3053,DR
11/3/2021,The Espy /Expense/Leisure & Lifestyle/Pubs & Bars,The Espy ,Expense,Leisure & Lifestyle,Pubs & Bars,271,0,2782,DR
12/3/2021,Sunburn Swimwear /Expense/Personal/Clothing & Accessories,Sunburn Swimwear ,Expense,Personal,Clothing & Accessories,92,0,2690,DR
12/3/2021,Menulog /Expense/Leisure & Lifestyle/Takeaway,Menulog ,Expense,Leisure & Lifestyle,Takeaway,256,0,2434,DR
13/3/2021,"Green Slip Insurance /Expense/Transport/Car Insurance, Rego & Maintenance",Green Slip Insurance ,Expense,Transport,"Car Insurance, Rego & Maintenance",213,0,2221,DR
13/3/2021,Timezone /Expense/Leisure & Lifestyle/Entertainment,Timezone ,Expense,Leisure & Lifestyle,Entertainment,120,0,2101,DR
13/3/2021, EnergyAustralia /Expense/Household/Utilities, EnergyAustralia ,Expense,Household,Utilities,148,0,1953,DR
14/3/2021,Microsoft 365 /Expense/Personal/Education,Microsoft 365 ,Expense,Personal,Education,37,0,1916,DR
14/3/2021, Rentokil /Expense/Household/Maintenance & Improvements, Rentokil ,Expense,Household,Maintenance & Improvements,69,0,1847,DR
16/3/2021,The Sydney Morning Herald /Expense/Personal/Education,The Sydney Morning Herald ,Expense,Personal,Education,16,0,1831,DR
16/3/2021,Little Athletics /Expense/Personal/Fitness & Wellbeing,Little Athletics ,Expense,Personal,Fitness & Wellbeing,82,0,1749,DR
16/3/2021,Caltex Woolworths /Expense/Transport/Fuel,Caltex Woolworths ,Expense,Transport,Fuel,173,0,1576,DR
16/3/2021,JB HiFi/Expense/Leisure & Lifestyle/Electronics,JB HiFi,Expense,Leisure & Lifestyle,Electronics,149,0,1427,DR
16/3/2021,"Budget Direct Car Insurance /Expense/Transport/Car Insurance, Rego & Maintenance",Budget Direct Car Insurance ,Expense,Transport,"Car Insurance, Rego & Maintenance",141,0,1286,DR
17/3/2021,AGL Energy /Expense/Household/Utilities,AGL Energy ,Expense,Household,Utilities,57,0,1229,DR
18/3/2021,Sunburn Swimwear /Expense/Personal/Clothing & Accessories,Sunburn Swimwear ,Expense,Personal,Clothing & Accessories,24,0,1205,DR
18/3/2021,Petbarn /Expense/Household/Pets,Petbarn ,Expense,Household,Pets,118,0,1087,DR
19/3/2021,The Sydney Morning Herald /Expense/Personal/Education,The Sydney Morning Herald ,Expense,Personal,Education,84,0,1003,DR
20/3/2021, Metricon /Expense/Household/Maintenance & Improvements, Metricon ,Expense,Household,Maintenance & Improvements,43,0,960,DR
21/3/2021,VetLove /Expense/Household/Pets,VetLove ,Expense,Household,Pets,51,0,909,DR
21/3/2021,Beacon Lighting /Expense/Household/Maintenance & Improvements,Beacon Lighting ,Expense,Household,Maintenance & Improvements,32,0,877,DR
22/3/2021,Boost Juice Bars /Expense/Leisure & Lifestyle/Takeaway,Boost Juice Bars ,Expense,Leisure & Lifestyle,Takeaway,19,0,858,DR
23/3/2021,BP /Expense/Transport/Fuel,BP ,Expense,Transport,Fuel,83,0,775,DR
23/3/2021,Pathology Lab /Expense/Personal/Health & Medical,Pathology Lab ,Expense,Personal,Health & Medical,58,0,717,DR
24/3/2021,National Hearing Care /Expense/Personal/Health & Medical,National Hearing Care ,Expense,Personal,Health & Medical,28,0,689,DR
24/3/2021,Sylvan Learning /Expense/Personal/Education,Sylvan Learning ,Expense,Personal,Education,38,0,651,DR
24/3/2021,AGL Energy /Expense/Household/Utilities,AGL Energy ,Expense,Household,Utilities,42,0,609,DR
24/3/2021,Origin Energy /Expense/Household/Utilities,Origin Energy ,Expense,Household,Utilities,26,0,583,DR
24/3/2021,Gardening Australia /Expense/Household/Maintenance & Improvements,Gardening Australia ,Expense,Household,Maintenance & Improvements,38,0,545,DR
25/3/2021,Beachside Yoga Classes /Expense/Personal/Fitness & Wellbeing,Beachside Yoga Classes ,Expense,Personal,Fitness & Wellbeing,32,0,513,DR
25/3/2021,Muffin Break /Expense/Leisure & Lifestyle/Restaurants & Cafes,Muffin Break ,Expense,Leisure & Lifestyle,Restaurants & Cafes,28,0,485,DR
25/3/2021,"The Good Guys /Expense/Household/Furniture, Electronics & Homewares",The Good Guys ,Expense,Household,"Furniture, Electronics & Homewares",7,0,478,DR
27/3/2021,Catholic Education Office /Expense/Personal/Education,Catholic Education Office ,Expense,Personal,Education,47,0,431,DR
27/3/2021,"VicRoads /Expense/Transport/Car Insurance, Rego & Maintenance",VicRoads ,Expense,Transport,"Car Insurance, Rego & Maintenance",38,0,393,DR
28/3/2021,Soccer Clubs /Expense/Personal/Fitness & Wellbeing,Soccer Clubs ,Expense,Personal,Fitness & Wellbeing,8,0,385,DR
1/4/2021,Monthly Income,Monthly Income,Income,Income,Wages,0,6000,6385,CR
2/4/2021,AGL Energy /Expense/Household/Utilities,AGL Energy ,Expense,Household,Utilities,195,0,6190,DR
4/4/2021,The Baxter Inn /Expense/Leisure & Lifestyle/Pubs & Bars,The Baxter Inn ,Expense,Leisure & Lifestyle,Pubs & Bars,365,0,5825,DR
4/4/2021,Local Fish and Chips /Expense/Leisure & Lifestyle/Takeaway,Local Fish and Chips ,Expense,Leisure & Lifestyle,Takeaway,435,0,5390,DR
5/4/2021,Vodafone Prepaid /Expense/Personal/Mobile Phone,Vodafone Prepaid ,Expense,Personal,Mobile Phone,15,0,5375,DR
6/4/2021,Dental Clinic /Expense/Personal/Health & Medical,Dental Clinic ,Expense,Personal,Health & Medical,71,0,5304,DR
6/4/2021,Anytime Fitness /Expense/Personal/Fitness & Wellbeing,Anytime Fitness ,Expense,Personal,Fitness & Wellbeing,291,0,5013,DR
7/4/2021,Café Nero /Expense/Leisure & Lifestyle/Restaurants & Cafes,Café Nero ,Expense,Leisure & Lifestyle,Restaurants & Cafes,194,0,4819,DR
7/4/2021,Bulk Billing Doctor /Expense/Personal/Health & Medical,Bulk Billing Doctor ,Expense,Personal,Health & Medical,475,0,4344,DR
10/4/2021,The Ivy /Expense/Leisure & Lifestyle/Pubs & Bars,The Ivy ,Expense,Leisure & Lifestyle,Pubs & Bars,166,0,4178,DR
11/4/2021,Kmart /Expense/Personal/Children & Family,Kmart ,Expense,Personal,Children & Family,135,0,4043,DR
12/4/2021,Spotlight /Expense/Leisure & Lifestyle/Hobbies,Spotlight ,Expense,Leisure & Lifestyle,Hobbies,333,0,3710,DR
12/4/2021,Jetts Fitness /Expense/Personal/Fitness & Wellbeing,Jetts Fitness ,Expense,Personal,Fitness & Wellbeing,192,0,3518,DR
12/4/2021,Chiropractor /Expense/Personal/Health & Medical,Chiropractor ,Expense,Personal,Health & Medical,218,0,3300,DR
13/4/2021,Woolworths /Expense/Household/Groceries,Woolworths ,Expense,Household,Groceries,281,0,3019,DR
13/4/2021,Scouts Australia /Expense/Leisure & Lifestyle/Hobbies,Scouts Australia ,Expense,Leisure & Lifestyle,Hobbies,167,0,2852,DR
13/4/2021,Beacon Lighting /Expense/Household/Maintenance & Improvements,Beacon Lighting ,Expense,Household,Maintenance & Improvements,73,0,2779,DR
13/4/2021,PayPal Transfer from Sale /Income/Income/Other Income,PayPal Transfer from Sale ,Income,Income,Other Income,217,0,2562,DR
13/4/2021,Little Athletics /Expense/Personal/Fitness & Wellbeing,Little Athletics ,Expense,Personal,Fitness & Wellbeing,105,0,2457,DR
13/4/2021,Witchery /Expense/Personal/Clothing & Accessories,Witchery ,Expense,Personal,Clothing & Accessories,235,0,2222,DR
14/4/2021,Witchery /Expense/Personal/Clothing & Accessories,Witchery ,Expense,Personal,Clothing & Accessories,157,0,2065,DR
14/4/2021,Who Gives A Crap /Expense/Household/Groceries,Who Gives A Crap ,Expense,Household,Groceries,164,0,1901,DR
14/4/2021, Meriton Apartments /Expense/Household/Rates & Insurance, Meriton Apartments ,Expense,Household,Rates & Insurance,105,0,1796,DR
15/4/2021,Chiropractor /Expense/Personal/Health & Medical,Chiropractor ,Expense,Personal,Health & Medical,108,0,1688,DR
15/4/2021,CommSec Share Trading Gains /Income/Income/Investments,CommSec Share Trading Gains ,Income,Income,Investments,70,0,1618,DR
15/4/2021,"Budget Direct Car Insurance /Expense/Transport/Car Insurance, Rego & Maintenance",Budget Direct Car Insurance ,Expense,Transport,"Car Insurance, Rego & Maintenance",5,0,1613,DR
17/4/2021," Fantastic Furniture /Expense/Household/Furniture, Electronics & Homewares", Fantastic Furniture ,Expense,Household,"Furniture, Electronics & Homewares",148,0,1465,DR
18/4/2021,"VicRoads /Expense/Transport/Car Insurance, Rego & Maintenance",VicRoads ,Expense,Transport,"Car Insurance, Rego & Maintenance",67,0,1398,DR
18/4/2021,Local Fish and Chips /Expense/Leisure & Lifestyle/Takeaway,Local Fish and Chips ,Expense,Leisure & Lifestyle,Takeaway,70,0,1328,DR
19/4/2021,"Kayo Sports /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Kayo Sports ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",106,0,1222,DR
23/4/2021,"Bridgestone Select /Expense/Transport/Car Insurance, Rego & Maintenance",Bridgestone Select ,Expense,Transport,"Car Insurance, Rego & Maintenance",27,0,1195,DR
23/4/2021,The Iconic /Expense/Personal/Clothing & Accessories,The Iconic ,Expense,Personal,Clothing & Accessories,116,0,1079,DR
26/4/2021,Childcare Payments /Expense/Personal/Children & Family,Childcare Payments ,Expense,Personal,Children & Family,39,0,1040,DR
26/4/2021,Liquorland /Expense/Leisure & Lifestyle/Alcohol,Liquorland ,Expense,Leisure & Lifestyle,Alcohol,71,0,969,DR
26/4/2021,Booktopia /Expense/Leisure & Lifestyle/Hobbies,Booktopia ,Expense,Leisure & Lifestyle,Hobbies,91,0,878,DR
27/4/2021,Apple Store /Expense/Leisure & Lifestyle/Electronics,Apple Store ,Expense,Leisure & Lifestyle,Electronics,42,0,836,DR
27/4/2021,BP /Expense/Transport/Fuel,BP ,Expense,Transport,Fuel,41,0,795,DR
27/4/2021,"The Good Guys /Expense/Household/Furniture, Electronics & Homewares",The Good Guys ,Expense,Household,"Furniture, Electronics & Homewares",17,0,778,DR
27/4/2021,"Green Slip Insurance /Expense/Transport/Car Insurance, Rego & Maintenance",Green Slip Insurance ,Expense,Transport,"Car Insurance, Rego & Maintenance",70,0,708,DR
27/4/2021, Brisbane City Council /Expense/Household/Rates & Insurance, Brisbane City Council ,Expense,Household,Rates & Insurance,38,0,670,DR
28/4/2021,Ballet Schools /Expense/Personal/Fitness & Wellbeing,Ballet Schools ,Expense,Personal,Fitness & Wellbeing,65,0,605,DR
1/5/2021,Monthly Income,Monthly Income,Income,Income,Wages,0,6000,6605,CR
2/5/2021,Acupuncture Clinic /Expense/Personal/Health & Medical,Acupuncture Clinic ,Expense,Personal,Health & Medical,368,0,6237,DR
4/5/2021,"Netflix /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Netflix ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",518,0,5719,DR
4/5/2021,Woolworths /Expense/Household/Groceries,Woolworths ,Expense,Household,Groceries,524,0,5195,DR
5/5/2021,QBE Insurance Claim Payout /Income/Income/Other Income,QBE Insurance Claim Payout ,Income,Income,Other Income,416,0,4779,DR
6/5/2021,Music Academy /Expense/Leisure & Lifestyle/Hobbies,Music Academy ,Expense,Leisure & Lifestyle,Hobbies,437,0,4342,DR
7/5/2021,"Spotify /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Spotify ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",385,0,3957,DR
7/5/2021," Fantastic Furniture /Expense/Household/Furniture, Electronics & Homewares", Fantastic Furniture ,Expense,Household,"Furniture, Electronics & Homewares",144,0,3813,DR
8/5/2021,IKEA /Expense/Household/Maintenance & Improvements,IKEA ,Expense,Household,Maintenance & Improvements,10,0,3803,DR
8/5/2021,G8 Education /Expense/Personal/Children & Family,G8 Education ,Expense,Personal,Children & Family,28,0,3775,DR
8/5/2021,School Locker /Expense/Personal/Children & Family,School Locker ,Expense,Personal,Children & Family,62,0,3713,DR
10/5/2021,"Adairs /Expense/Household/Furniture, Electronics & Homewares",Adairs ,Expense,Household,"Furniture, Electronics & Homewares",251,0,3462,DR
12/5/2021,The Rocks Bar and Pub /Expense/Leisure & Lifestyle/Pubs & Bars,The Rocks Bar and Pub ,Expense,Leisure & Lifestyle,Pubs & Bars,15,0,3447,DR
12/5/2021,Soccer Clubs /Expense/Personal/Fitness & Wellbeing,Soccer Clubs ,Expense,Personal,Fitness & Wellbeing,340,0,3107,DR
13/5/2021,"Netflix /Expense/Leisure & Lifestyle/Tv, Music & Streaming",Netflix ,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",33,0,3074,DR
13/5/2021,Aqua Fun Park /Expense/Leisure & Lifestyle/Holidays & Travel,Aqua Fun Park ,Expense,Leisure & Lifestyle,Holidays & Travel,290,0,2784,DR
