product_type,,,,,snapshot_date,available_credit,available_fum,transaction_id,,transaction_effective_date,transaction_amount,credit_debit_indicator,statement_description,high_level_transaction_purpose,mid_level_transaction_purpose,low_level_transaction_purpose,transaction_code,merchant_id,product_type_credit_card,snapshot_date_credit_card,statement_due_day,closing_balance,minimum_repayment_amount,previous_repayment_date,previous_repayment_amount
offset,,,,,8/31/2023,880901.83,386683.5,271,,9/26/2023,4381.96,debit,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,augue a suscipit nulla elit ac nulla sed vel enim sit amet,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,597,7814,credit card,1/29/2024,8,151520.44,7561.89,08-10-2023,5030.62
credit card,,,,,03-09-2024,371080.71,513023.38,272,,9/16/2023,9378.58,credit,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,enim leo rhoncus sed vestibulum sit amet cursus id turpis,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac,505,7935,credit card,4/13/2024,27,34918.88,2611.16,9/30/2023,6143.32
offset,,,,,12-10-2023,321291.81,115740.05,273,,8/29/2023,3920.49,credit,erat curabitur gravida nisi at nibh in hac habitasse platea,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,vel sem sed sagittis nam congue risus semper porta volutpat,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in,223,6136,credit card,04-06-2024,30,697477.55,5433.64,03-12-2024,7630.05
transaction,,,,,11/28/2023,711874.17,750832.71,274,,12/26/2023,2482.27,debit,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,322,7410,credit card,12/20/2023,28,428730.22,3606.31,12-02-2023,4901.34
offset,,,,,5/24/2023,388984.1,399686.78,275,,2/29/2024,4519.88,debit,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed,378,5083,credit card,12-01-2023,12,182139.4,7528.24,2/13/2024,4347.64
transaction,,,,,1/19/2024,377819.09,713269.54,276,,3/18/2024,9683.97,credit,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin,397,3988,credit card,12/16/2023,2,48809.12,3412.57,08-11-2023,254.93
credit card,,,,,1/20/2024,19317.03,974315.35,277,,4/16/2024,4743.68,credit,tempus vivamus in felis eu sapien cursus vestibulum proin eu,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,quam nec dui luctus rutrum nulla tellus in sagittis dui vel,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,617,9755,credit card,08-02-2023,27,478741.29,7925.84,06-10-2023,78.67
credit card,,,,,11/15/2023,430963.78,240308.95,278,,9/23/2023,8270.82,credit,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,851,6422,credit card,09-04-2023,20,699701.99,4066.04,12/18/2023,6235.07
offset,,,,,01-05-2024,883313.93,831323.75,279,,06-06-2023,2725.64,debit,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien,733,1859,credit card,10/29/2023,18,473581.01,3645.61,11/13/2023,129.68
savings,,,,,11/22/2023,614882.43,683378.33,280,,07-03-2023,6004.05,credit,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,252,6923,credit card,9/21/2023,28,634560.28,5087.17,7/26/2023,7357.32
savings,,,,,04-04-2024,892069.52,168316.27,281,,2/19/2024,9358.95,credit,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat,457,8619,credit card,05-05-2023,24,60480.66,6091,11-06-2023,1061.31
offset,,,,,03-06-2024,804445.97,606494.14,282,,8/13/2023,6210.08,debit,pede lobortis ligula sit amet eleifend pede libero quis orci,metus aenean fermentum donec ut mauris eget massa tempor convallis,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,515,7538,credit card,6/14/2023,29,154063.31,6976.8,10-04-2023,9763.38
savings,,,,,7/20/2023,348181.9,373519.28,283,,8/16/2023,8839.43,credit,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,685,5934,credit card,3/21/2024,29,262123.32,8343.57,8/28/2023,8358.69
offset,,,,,6/21/2023,932419.25,506381.52,284,,05-10-2023,9279.46,debit,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,215,9094,credit card,07-01-2023,29,857956.71,8562.56,5/25/2023,8974.38
transaction,,,,,01-08-2024,575154.85,75810.55,285,,11-11-2023,2850.51,credit,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,701,1331,credit card,01-10-2024,8,771436.48,8368.24,03-03-2024,8937.19
transaction,,,,,11-05-2023,757932.52,379169.77,286,,7/21/2023,648.97,credit,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,989,7843,credit card,11/20/2023,31,407336.51,7407.47,8/24/2023,5884.67
personal loan,,,,,04-12-2024,19042.71,339214.3,287,,6/14/2023,2717.25,debit,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,165,7917,credit card,01-05-2024,4,569578.84,9199.12,10-04-2023,2019.25
offset,,,,,6/26/2023,197116.68,588982.1,288,,02-06-2024,6578.52,debit,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,tellus in sagittis dui vel nisl duis ac nibh fusce,quisque porta volutpat erat quisque erat eros viverra eget congue,massa id lobortis convallis tortor risus dapibus augue vel accumsan,769,4006,credit card,10-10-2023,18,791825.05,441.1,06-09-2023,9228.84
credit card,,,,,02-08-2024,788272.98,330668.96,289,,8/18/2023,1593.4,credit,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,auctor sed tristique in tempus sit amet sem fusce consequat,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,346,1139,credit card,6/14/2023,10,781037.94,869.11,03-06-2024,9351.05
savings,,,,,1/29/2024,576048.76,596337.35,290,,1/29/2024,2208.41,debit,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,606,5102,credit card,1/20/2024,17,719695.15,1836.45,3/17/2024,4556
offset,,,,,11/13/2023,490157.24,637470.43,291,,9/21/2023,3460.64,credit,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod,in faucibus orci luctus et ultrices posuere cubilia curae donec,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,412,7446,credit card,2/22/2024,8,257179.86,9482.73,11-06-2023,6192.69
savings,,,,,01-05-2024,3097.26,572343.49,292,,10/19/2023,3110.52,debit,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,580,2076,credit card,8/24/2023,1,279221.29,6220.53,6/23/2023,9715.24
credit card,,,,,4/21/2024,810677.41,323898.31,293,,7/22/2023,7290.33,credit,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in,876,7735,credit card,3/22/2024,24,294392.49,6523.63,12/31/2023,9243.52
home loan,,,,,02-07-2024,340278.91,690153.26,294,,9/21/2023,2545.91,debit,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,440,1573,credit card,9/15/2023,9,567590.19,1923.41,2/15/2024,7970.73
home loan,,,,,07-12-2023,419410.75,906338.15,295,,10-08-2023,5232.88,credit,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem,651,9297,credit card,6/25/2023,12,236278.65,7200.61,07-11-2023,6602.68
offset,,,,,12-06-2023,713056.58,795485.45,296,,12/20/2023,8925.62,credit,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,congue elementum in hac habitasse platea dictumst morbi vestibulum velit,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,798,6291,credit card,4/28/2023,12,483040.03,6801.87,11-01-2023,2051.25
personal loan,,,,,8/14/2023,535838.99,808137.56,297,,2/27/2024,9092.4,credit,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,566,5410,credit card,11-09-2023,15,605285.36,3450.13,4/29/2023,27.81
savings,,,,,9/14/2023,845484.91,451274.64,298,,10/27/2023,8972.83,credit,viverra eget congue eget semper rutrum nulla nunc purus phasellus in,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,258,9952,credit card,05-04-2023,6,178722.94,2779.3,10/21/2023,3369.8
savings,,,,,03-04-2024,655764.73,677132.19,299,,10/25/2023,3257.52,credit,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus,157,8403,credit card,05-12-2023,30,320821.92,97.52,11/26/2023,6666.58
credit card,,,,,11/26/2023,767369.53,808203.91,300,,08-10-2023,6112.62,credit,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,608,8227,credit card,9/29/2023,25,876473.02,2331.4,06-08-2023,6767.04
savings,,,,,4/29/2023,224268,371487.82,301,,04-03-2024,9892.28,debit,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,138,3086,credit card,4/24/2024,28,193953.76,8751.62,4/27/2024,7305.48
credit card,,,,,9/30/2023,671119.37,54503.79,302,,5/27/2023,1447.71,debit,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,353,6768,credit card,8/24/2023,5,299013.12,2355.19,2/21/2024,5120.95
transaction,,,,,8/13/2023,692195.93,152428.05,303,,1/23/2024,6392.09,credit,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,952,3440,credit card,10/30/2023,30,319316.07,1904.99,3/16/2024,4985.49
home loan,,,,,02-07-2024,842416.06,823202.49,304,,9/18/2023,8248.07,debit,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,495,1515,credit card,2/17/2024,16,267095.35,9116.26,3/18/2024,1148.14
savings,,,,,03-04-2024,793520.49,438930.06,305,,03-05-2024,1456.76,credit,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,469,1033,credit card,11/24/2023,25,829445.27,3929.41,2/25/2024,9531.79
home loan,,,,,11-05-2023,852897.7,689452.31,306,,10-08-2023,5115.02,debit,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,maecenas tincidunt lacus at velit vivamus vel nulla eget eros,605,6626,credit card,1/24/2024,20,588424,2635.19,4/17/2024,1552.75
credit card,,,,,11/19/2023,583900.82,567960.73,307,,03-04-2024,196.88,credit,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,756,6843,credit card,12/19/2023,26,94151.33,9382.81,1/22/2024,9594.18
transaction,,,,,2/26/2024,246191.36,386467.31,308,,11/23/2023,363.28,debit,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,917,4199,credit card,10/26/2023,24,477766.95,8229.22,10/21/2023,4528.88
home loan,,,,,01-07-2024,8476.77,39613.77,309,,01-05-2024,7153.02,credit,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,id nulla ultrices aliquet maecenas leo odio condimentum id luctus,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,923,7302,credit card,08-01-2023,9,155752.87,2345.8,4/15/2024,5877.91
credit card,,,,,02-05-2024,802627.3,906041.07,310,,11/27/2023,2569.01,credit,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,287,7657,credit card,7/26/2023,19,940020.65,6470.31,12/22/2023,2707.92
personal loan,,,,,8/23/2023,741929.07,910375.06,311,,1/14/2024,4089.23,credit,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor,988,2265,credit card,11-06-2023,19,943412.9,8337.82,4/29/2023,3320.28
home loan,,,,,2/18/2024,491265.54,657750.83,312,,01-03-2024,6489,credit,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,482,4741,credit card,8/15/2023,23,710876.74,8672.98,2/13/2024,9888.83
personal loan,,,,,08-08-2023,173578,682069.02,313,,3/15/2024,2084.93,debit,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,672,6126,credit card,08-11-2023,20,861823.36,5626.31,8/20/2023,9417.93
offset,,,,,11/28/2023,257109.19,717711.24,314,,02-09-2024,9186.38,credit,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,982,4262,credit card,1/13/2024,17,878530.56,8143.68,9/18/2023,907.74
savings,,,,,04-06-2024,414635.71,163823.08,315,,10-11-2023,4451.17,credit,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,887,6990,credit card,12-06-2023,26,158389.21,9.57,12-10-2023,4206.21
credit card,,,,,1/15/2024,524222.76,763545.51,316,,01-03-2024,8347.56,debit,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,411,8532,credit card,6/27/2023,15,502940.71,5168.95,05-03-2023,4446.98
transaction,,,,,7/25/2023,148308.41,354013.31,317,,02-05-2024,6272.98,credit,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in,715,1514,credit card,1/25/2024,20,855062.21,3732.57,11-08-2023,4888.4
home loan,,,,,8/22/2023,15327.51,528359.89,318,,7/22/2023,7402.92,credit,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,936,3278,credit card,3/22/2024,2,154382.94,6013.25,5/27/2023,2969.22
offset,,,,,5/24/2023,638745.86,924716.63,319,,01-10-2024,6712.72,credit,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,896,1740,credit card,12/31/2023,6,537696.41,320.25,05-08-2023,797.84
home loan,,,,,8/22/2023,818991.5,570431.4,320,,12/20/2023,4046.72,credit,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,586,1114,credit card,09-09-2023,15,258102.15,8196.91,04-04-2024,1198.99
offset,,,,,05-02-2023,711660.95,401392.24,321,,10-05-2023,4512.94,debit,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,494,4445,credit card,10-08-2023,22,996689.5,2500.54,12-01-2023,3832.66
transaction,,,,,4/19/2024,666037,198963.06,322,,12/14/2023,1491.01,credit,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,primis in faucibus orci luctus et ultrices posuere cubilia curae,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,402,6631,credit card,10/26/2023,31,738925.98,3022.48,06-07-2023,7950.53
personal loan,,,,,5/14/2023,195769.46,92959.8,323,,12/28/2023,8432.26,credit,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,495,8560,credit card,04-01-2024,10,933555.38,6055.5,9/16/2023,7160.28
offset,,,,,5/29/2023,117052.76,597504.1,324,,1/26/2024,2557.66,debit,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,102,4426,credit card,3/19/2024,1,829076.88,7503.49,01-04-2024,6227.33
